wvl;fwhm
2428.361200;6.6520261
2433.478300;6.6523435
2438.595300;6.6520261
2443.712400;6.6523435
2448.829400;6.6520261
2453.946500;6.6523435
2459.063500;6.6520261
2464.180600;6.6523435
2469.297700;6.6520261
2474.414700;6.6523435
2479.531800;6.6520261
2484.648800;6.6520261
2489.765900;6.6523435
2494.882900;6.6520261
2500.000000;6.6523435
